iter	Passed	Remaining
0	139	139245
1	140	69918
2	140	46848
3	141	35292
4	142	28371
5	143	23729
6	143	20417
7	144	17927
8	145	16005
9	146	14461
10	146	13191
11	147	12138
12	148	11245
13	148	10490
14	149	9841
15	150	9261
16	151	8749
17	151	8289
18	152	7876
19	153	7507
20	153	7176
21	154	6876
22	155	6601
23	156	6347
24	156	6112
25	157	5892
26	157	5692
27	158	5504
28	159	5332
29	159	5170
30	160	5021
31	161	4881
32	161	4746
33	162	4622
34	163	4504
35	164	4391
36	164	4282
37	165	4181
38	165	4085
39	166	3993
40	167	3907
41	167	3829
42	168	3751
43	169	3678
44	169	3606
45	170	3538
46	171	3470
47	171	3406
48	172	3347
49	173	3290
50	173	3235
51	174	3182
52	175	3131
53	175	3081
54	176	3033
55	177	2987
56	178	2945
57	178	2902
58	179	2860
59	179	2819
60	180	2780
61	181	2740
62	181	2704
63	182	2666
64	182	2632
65	183	2598
66	184	2566
67	184	2533
68	185	2502
69	186	2471
70	186	2442
71	187	2413
72	187	2384
73	188	2357
74	188	2330
75	189	2303
76	190	2279
77	190	2254
78	191	2233
79	192	2210
80	193	2189
81	193	2168
82	194	2143
83	194	2121
84	195	2100
85	195	2080
86	196	2060
87	197	2041
88	197	2023
89	198	2004
90	198	1987
91	199	1969
92	200	1953
93	200	1936
94	201	1919
95	202	1903
96	203	1893
97	204	1878
98	204	1863
99	205	1850
100	206	1837
101	207	1824
102	208	1811
103	208	1798
104	209	1785
105	210	1771
106	210	1757
107	211	1745
108	211	1731
109	212	1719
110	213	1706
111	213	1694
112	214	1682
113	215	1671
114	215	1659
115	216	1648
116	216	1637
117	217	1626
118	218	1615
119	218	1604
120	219	1594
121	220	1583
122	220	1573
123	221	1564
124	222	1555
125	222	1546
126	223	1536
127	224	1527
128	224	1517
129	225	1508
130	225	1498
131	226	1489
132	227	1481
133	227	1472
134	228	1463
135	229	1455
136	229	1446
137	230	1438
138	230	1430
139	231	1422
140	232	1414
141	232	1406
142	233	1398
143	234	1391
144	234	1383
145	235	1377
146	236	1369
147	236	1362
148	237	1356
